172.18.0.1 - - [10/Apr/2026:10:26:44 +0000] "GET / HTTP/1.1" 301 162 "-" "curl/8.5.0" "-"
::1 - - [10/Apr/2026:10:27:09 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:27:39 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:28:09 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:28:39 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:29:10 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:29:40 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:30:10 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:30:40 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
95.214.53.42 - - [10/Apr/2026:10:30:53 +0000] "GET / HTTP/1.1" 301 162 "-" "python-requests/2.31.0" "-"
::1 - - [10/Apr/2026:10:31:10 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:31:40 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:32:10 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:32:41 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:33:11 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
49.51.47.100 - - [10/Apr/2026:10:33:40 +0000] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
::1 - - [10/Apr/2026:10:33:41 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:34:11 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:34:41 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:35:11 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:35:41 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:36:11 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:36:42 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:37:12 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:37:42 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:38:12 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:38:42 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:39:12 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:39:42 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:40:12 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:40:43 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:41:13 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:41:43 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
49.51.183.220 - - [10/Apr/2026:10:41:46 +0000] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
::1 - - [10/Apr/2026:10:42:13 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:42:43 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:43:13 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:43:43 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:44:14 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:44:44 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:45:14 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:45:44 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:46:14 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:46:44 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:47:14 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
